text,optionA,optionB,optionC,optionD,correctOption,difficulty,classLevel,term,explanation,topicTitle
"Immunisation works by","killing pathogens directly","introducing antigens to stimulate antibody production","replacing blood","removing infected cells","B","MEDIUM","JSS3","SECOND","Immunisation (vaccination) introduces antigens (weakened or killed pathogens, or their proteins) into the body. The immune system responds by producing antibodies, creating immunological memory for future protection.","Health & Disease"
"Which of the following is a basic life process common to all living organisms?","Flying","Nutrition","Using tools","Writing","B","EASY","JSS3","FIRST","The basic life processes (MRS GREN) include: Movement, Respiration, Sensitivity, Growth, Reproduction, Excretion, and Nutrition. All living organisms must carry out these processes.","Basic Life Processes"
"What does the acronym MRS GREN stand for in biology?","Minerals, Respiration, Sugar, Growth, Reproduction, Energy, Nutrition","Movement, Respiration, Sensitivity, Growth, Reproduction, Excretion, Nutrition","Motion, Rest, Sleep, Growth, Reproduction, Excretion, Nutrition","Movement, Reaction, Sensitivity, Growth, Respiration, Evolution, Nutrition","B","MEDIUM","JSS3","FIRST","MRS GREN is a mnemonic for the seven characteristics of living organisms: Movement, Respiration, Sensitivity (irritability), Growth, Reproduction, Excretion, Nutrition. All living things exhibit these characteristics.","Basic Life Processes"
"The spread of cholera is mainly through","mosquito bites","contaminated food and water","air","direct skin contact","B","EASY","JSS3","SECOND","Cholera is caused by the bacterium Vibrio cholerae and spreads through contaminated water and food. It causes severe watery diarrhoea and vomiting, leading to rapid dehydration. Good sanitation prevents its spread.","Health & Disease"
"The process by which living organisms respond to changes in their environment is called","growth","reproduction","irritability (sensitivity)","nutrition","C","EASY","JSS3","FIRST","Irritability (sensitivity) is the ability of living organisms to detect and respond to stimuli (changes in the environment). Examples include plants growing toward light (phototropism) and animals reacting to pain.","Basic Life Processes"
"Which of the following is a renewable source of energy?","Coal","Petroleum","Solar energy","Natural gas","C","MEDIUM","JSS3","THIRD","Solar energy is a renewable energy source because it is continuously replenished by the sun. Fossil fuels (coal, petroleum, natural gas) are non-renewable because they take millions of years to form.","Ecology & Environment"
"The removal of forests on a large scale is called","afforestation","deforestation","reforestation","conservation","B","EASY","JSS3","THIRD","Deforestation is the large-scale clearing of forests for agriculture, logging, and urbanisation. It leads to habitat destruction, soil erosion, reduced biodiversity, and contributes to climate change.","Ecology & Environment"
"Which of the following best describes a habitat?","The role of an organism in an ecosystem","The place where an organism lives","The total number of species in an area","The study of organisms","B","EASY","JSS3","FIRST","A habitat is the natural environment where an organism lives and finds the food, water, shelter, and other conditions necessary for its survival. Examples include forests, rivers, deserts, and coral reefs.","Basic Life Processes"
"What is the role of decomposers in a food web?","They are primary producers","They recycle nutrients by breaking down dead matter","They are top predators","They convert sunlight to food","B","MEDIUM","SS3","THIRD","Decomposers (mainly bacteria and fungi) break down dead organic matter and waste products into simpler inorganic compounds. This releases nutrients back into the soil, making them available for plants to absorb.","Ecology & Environment"
"In genetics, the physical appearance of an organism resulting from its genetic makeup is called its","genotype","phenotype","allele","locus","B","EASY","SS3","SECOND","Phenotype refers to the observable physical, biochemical, or behavioural characteristics of an organism, resulting from the interaction of its genotype and the environment. Examples: tall, blue eyes, round seeds.","Genetics & Heredity"
"The sex of a human offspring is determined by","the mother's chromosomes","the father's sex chromosome contribution","temperature","blood group","B","MEDIUM","SS3","SECOND","Human females are XX and males are XY. The father contributes either an X or a Y sperm. If a Y sperm fertilises the egg (X), the offspring is male (XY); if an X sperm fertilises the egg (X), the offspring is female (XX).","Genetics & Heredity"
"Which of the following is NOT a function of the skeleton in vertebrates?","Support and shape","Protection of vital organs","Photosynthesis","Facilitating movement","C","EASY","SS2","FIRST","The skeleton provides support, protection for organs (e.g., skull protects the brain), facilitates movement (with muscles), produces blood cells (in bone marrow), and stores minerals. Photosynthesis is a plant function.","Transport in Animals"
"The process of converting glucose to glycogen for storage in the liver is called","glycolysis","gluconeogenesis","glycogenesis","glycogenolysis","C","HARD","SS2","SECOND","Glycogenesis is the synthesis of glycogen from glucose, primarily in the liver and muscles. It is stimulated by insulin when blood glucose levels are high. This process stores excess glucose as glycogen.","Excretion"
"Which of the following is an example of a saprophyte?","Mushroom (Agaricus)","Cuscuta (dodder plant)","Mistletoe","Sundew","A","MEDIUM","SS1","SECOND","Saprophytes are organisms that feed on dead and decaying organic matter by secreting enzymes externally and absorbing the digested nutrients. Mushrooms (e.g., Agaricus) are classic saprophytic fungi.","Nutrition"
"Which vitamin is produced by the skin when exposed to sunlight?","Vitamin A","Vitamin B12","Vitamin C","Vitamin D","D","EASY","SS1","SECOND","Vitamin D is synthesised in the skin when exposed to ultraviolet (UV) radiation from sunlight. It is essential for calcium absorption and bone health. Deficiency causes rickets in children and osteomalacia in adults.","Nutrition"
"Kwashiorkor is a disease caused by deficiency of","carbohydrates","proteins","Vitamin A","iron","B","EASY","JSS3","SECOND","Kwashiorkor results from severe protein deficiency. It commonly affects young children who have been weaned onto a low-protein diet. Symptoms include oedema, muscle wasting, and an enlarged abdomen.","Health & Disease"
"Which of the following is a function of white blood cells?","Carry oxygen","Produce antibodies and engulf pathogens","Aid in blood clotting","Transport carbon dioxide","B","MEDIUM","SS2","FIRST","White blood cells (leucocytes) are part of the immune system. Lymphocytes produce antibodies, and phagocytes (neutrophils and macrophages) engulf and destroy pathogens through a process called phagocytosis.","Transport in Animals"
"The law of independent assortment states that","alleles of a gene separate during gamete formation","genes on different chromosomes are inherited independently of one another","dominant alleles always mask recessive ones","all genes are linked","B","HARD","SS3","SECOND","Mendel's Law of Independent Assortment states that alleles of different genes assort independently of each other during gamete formation (assuming the genes are on different chromosomes/not linked).","Genetics & Heredity"
"Active transport differs from diffusion in that it","moves substances from high to low concentration","requires no energy","moves substances against the concentration gradient using energy (ATP)","does not involve a membrane","C","HARD","SS1","FIRST","Active transport moves substances against their concentration gradient (from low to high concentration). It requires cellular energy in the form of ATP and involves specific carrier proteins in the membrane.","Diffusion & Osmosis"
"The phylum Arthropoda includes animals with","a backbone","an exoskeleton and jointed appendages","soft bodies","radial symmetry only","B","MEDIUM","SS1","SECOND","Arthropods (e.g., insects, spiders, crabs) are characterised by a hard exoskeleton made of chitin, jointed appendages (legs, antennae), and a segmented body. They form the largest phylum in the animal kingdom.","Classification of Living Things"
"In a pyramid of energy, which trophic level contains the most energy?","Secondary consumers","Tertiary consumers","Producers","Primary consumers","C","MEDIUM","SS3","THIRD","In an energy pyramid, producers (plants) at the base contain the most energy. Energy is lost as heat at each trophic level (approximately 90% is lost), so energy decreases as you move up the pyramid.","Ecology & Environment"
"What is the main function of guard cells in leaves?","Absorbing water from soil","Regulating the opening and closing of stomata","Producing food by photosynthesis","Transporting water in the xylem","B","MEDIUM","SS2","FIRST","Guard cells are specialised kidney-shaped cells that flank each stoma. They regulate the opening and closing of stomata by changes in their turgor pressure, controlling gas exchange and water loss in the plant.","Transport in Plants"
"Sickle cell anaemia is an example of","a chromosomal mutation","a sex-linked trait","a point gene mutation","an acquired characteristic","C","HARD","SS3","SECOND","Sickle cell anaemia results from a point mutation in the gene encoding beta-globin. A single base change (GAG to GTG) causes glutamic acid to be replaced by valine, producing abnormal haemoglobin (HbS) and sickle-shaped red blood cells.","Genetics & Heredity"
"Which of the following is the correct description of the term 'ecology'?","The study of plants only","The study of animals only","The study of the relationships between organisms and their environment","The study of fossils","C","EASY","SS3","THIRD","Ecology is the branch of biology that studies the interactions between living organisms (biotic factors) and their physical environment (abiotic factors), including the flow of energy and cycling of nutrients.","Ecology & Environment"
"The hardening of arteries due to fat deposits is called","thrombosis","arteriosclerosis (atherosclerosis)","hypertension","anaemia","B","HARD","SS2","FIRST","Atherosclerosis is the build-up of fatty plaques (atheromas) on the inner walls of arteries, narrowing the lumen and reducing blood flow. It increases the risk of heart attack and stroke.","Transport in Animals"
"What type of nutrition do plants employ?","Holozoic","Saprotrophic","Holophytic (autotrophic)","Parasitic","C","EASY","SS1","SECOND","Plants use holophytic (autotrophic) nutrition. They manufacture their own food from inorganic raw materials (CO₂ and H₂O) using light energy in a process called photosynthesis.","Nutrition"
"Which of the following is an example of a gymnosperm?","Mango tree","Pine tree","Palm tree","Maize","B","MEDIUM","SS1","SECOND","Gymnosperms are seed-bearing plants whose seeds are not enclosed in a fruit (naked seeds). Examples include pine, fir, spruce, and cycads. Angiosperms have seeds enclosed within a fruit.","Classification of Living Things"
"The organ in plants where gaseous exchange mainly takes place is","root","stem","leaf","flower","C","EASY","SS1","THIRD","Gaseous exchange in plants mainly occurs in leaves through tiny pores called stomata. Oxygen and carbon dioxide diffuse in and out of the leaf. Some exchange also occurs through the roots (lenticels in stems too).","Respiration"
"Excess amino acids in the body are broken down in the liver by a process called","hydrolysis","deamination","oxidation","digestion","B","HARD","SS2","SECOND","Deamination is the removal of the amino group (–NH₂) from excess amino acids in the liver. The amino group forms ammonia (converted to urea), and the remaining carbon skeleton enters metabolic pathways for energy.","Excretion"
"Which hormone regulates blood glucose levels by promoting the uptake of glucose by cells?","Glucagon","Adrenaline","Insulin","Thyroxine","C","MEDIUM","SS2","SECOND","Insulin is produced by beta cells in the islets of Langerhans of the pancreas. It lowers blood glucose by stimulating body cells (especially liver and muscle) to take up glucose and convert it to glycogen (glycogenesis).","Excretion"
"Pepsin is an enzyme found in the stomach that digests","carbohydrates","fats","proteins","nucleic acids","C","MEDIUM","SS1","SECOND","Pepsin is a protease enzyme secreted by chief cells in the stomach. It is activated by hydrochloric acid (HCl) and breaks peptide bonds in proteins, beginning protein digestion in the stomach.","Nutrition"
